z1,z2,u_score,avg_selection_prob
-10.530856809857351,2.6327142024643377,0.0,0.0005909962028503478
-10.530856809857351,3.1592570429572056,0.0,0.0005909962028503478
-10.530856809857351,3.6857998834500734,0.0,0.0005909962028503478
-10.530856809857351,4.212342723942941,0.0,0.0005909962028503478
-10.530856809857351,4.738885564435808,0.0,0.00036922508072793274
-10.530856809857351,5.2654284049286755,0.0,0.00036922508072793274
-10.530856809857351,5.791971245421544,0.0,0.00036922508072793274
-10.530856809857351,6.318514085914411,0.0,0.0005909962028503478
-10.530856809857351,6.8450569264072785,0.0,0.0005909962028503478
-10.530856809857351,7.371599766900147,0.0,0.0005909962028503478
-10.530856809857351,7.898142607393014,0.0,0.0005909962028503478
-10.530856809857351,8.424685447885881,0.0,0.0005909962028503478
-10.530856809857351,8.951228288378749,0.0,0.0005909962028503478
-10.530856809857351,9.477771128871616,0.0,0.0005909962028503478
-10.530856809857351,10.004313969364484,0.0,0.0005909962028503478
-10.530856809857351,10.530856809857351,0.0,0.0005909962028503478
-10.530856809857351,11.05739965035022,0.0,0.0005909962028503478
-10.004313969364484,-11.05739965035022,0.0,0.0005909962028503478
-10.004313969364484,-10.530856809857351,0.0,0.0005909962028503478
-10.004313969364484,-10.004313969364484,0.0,0.0005909962028503478
-10.004313969364484,-9.477771128871616,0.0,0.0005909962028503478
-10.004313969364484,-8.951228288378749,0.0,0.0005909962028503478
-10.004313969364484,-8.424685447885881,0.0,0.0005909962028503478
-10.004313969364484,-7.898142607393014,0.0,0.0005909962028503478
-10.004313969364484,-7.371599766900147,0.0,0.0005909962028503478
-10.004313969364484,-6.8450569264072785,0.0,0.0005909962028503478
-10.004313969364484,-6.318514085914411,0.0,0.0005909962028503478
-10.004313969364484,-5.791971245421544,0.0,0.0005909962028503478
-10.004313969364484,-5.2654284049286755,0.0,0.0005909962028503478
-10.004313969364484,-4.738885564435808,0.0,0.0005909962028503478
-10.004313969364484,-4.212342723942941,0.0,0.0005909962028503478
-10.004313969364484,-3.6857998834500734,0.0008333333333333334,0.0005916838074300127
-10.004313969364484,-3.1592570429572056,0.0016666666666666668,0.0005923722120149155
-10.004313969364484,-2.6327142024643377,0.0025,0.0005930614175358363
-10.004313969364484,-2.1061713619714704,0.004166666666666667,0.0005944422351142662
-10.004313969364484,-1.5796285214786028,0.004166666666666667,0.0005944422351142662
-10.004313969364484,-1.0530856809857352,0.005,0.0005951338490387541
-10.004313969364484,-0.5265428404928676,0.004166666666666667,0.0005944422351142662
-10.004313969364484,0.0,0.0033333333333333335,0.0005937514249246376
-10.004313969364484,0.5265428404928676,0.0033333333333333335,0.0005937514249246376
-10.004313969364484,1.0530856809857352,0.0016666666666666668,0.00023162832926532507
-10.004313969364484,1.5796285214786028,0.0,0.00023109028460796595
-10.004313969364484,2.1061713619714704,0.0,0.00023109028460796595
-10.004313969364484,2.6327142024643377,0.0,0.0005909962028503478
-10.004313969364484,3.1592570429572056,0.0,0.0005909962028503478
-10.004313969364484,3.6857998834500734,0.0,0.0005909962028503478
-10.004313969364484,4.212342723942941,0.0,0.0005909962028503478
-10.004313969364484,4.738885564435808,0.0,0.00036922508072793274
-10.004313969364484,5.2654284049286755,0.0,0.00036922508072793274
-10.004313969364484,5.791971245421544,0.0,0.00036922508072793274
-10.004313969364484,6.318514085914411,0.0,0.0005909962028503478
-10.004313969364484,6.8450569264072785,0.0,0.0005909962028503478
-10.004313969364484,7.371599766900147,0.0,0.0005909962028503478
-10.004313969364484,7.898142607393014,0.0,0.0005909962028503478
-10.004313969364484,8.424685447885881,0.0,0.0005909962028503478
-10.004313969364484,8.951228288378749,0.0,0.0005909962028503478
-10.004313969364484,9.477771128871616,0.0,0.0005909962028503478
-10.004313969364484,10.004313969364484,0.0,0.0005909962028503478
-10.004313969364484,10.530856809857351,0.0,0.0005909962028503478
-10.004313969364484,11.05739965035022,0.0,0.0005909962028503478
-9.477771128871616,-11.05739965035022,0.0,0.0005909962028503478
-9.477771128871616,-10.530856809857351,0.0,6.207660749752614e-05
-9.477771128871616,-10.004313969364484,0.0,6.207660749752614e-05
-9.477771128871616,-9.477771128871616,0.0,6.207660749752614e-05
-9.477771128871616,-8.951228288378749,0.0,0.0005909962028503478
-9.477771128871616,-8.424685447885881,0.0,0.0005909962028503478
-9.477771128871616,-7.898142607393014,0.0,0.0005909962028503478
-9.477771128871616,-7.371599766900147,0.0,0.0005909962028503478
-9.477771128871616,-6.8450569264072785,0.0,0.0005909962028503478
-9.477771128871616,-6.318514085914411,0.0,0.0005909962028503478
-9.477771128871616,-5.791971245421544,0.0,0.0005909962028503478
-9.477771128871616,-5.2654284049286755,0.0,0.0005909962028503478
-9.477771128871616,-4.738885564435808,0.0,0.0005909962028503478
-9.477771128871616,-4.212342723942941,0.0,0.0005909962028503478
-9.477771128871616,-3.6857998834500734,0.0016666666666666668,0.0005923722120149155
-9.477771128871616,-3.1592570429572056,0.0025,0.0005930614175358363
-9.477771128871616,-2.6327142024643377,0.005,0.0005951338490387541
-9.477771128871616,-2.1061713619714704,0.005,0.0005951338490387541
-9.477771128871616,-1.5796285214786028,0.005833333333333334,0.0005958262676332206
